cloud_provider,category,service,description
ibmcloud,Service,paas_svc_plan_event_hub,Event Hub service for real-time data streaming.
ibmcloud,Service,paas_svc_plan_feat,Feature service for various enhancements.
ibmcloud,Service,paas_svc_plan_feat_apache_spark,Apache Spark service for big data processing.
ibmcloud,Service,paas_svc_plan_feat_api_connect,API Connect service for managing APIs.
ibmcloud,Service,paas_svc_plan_feat_app_security_on_cloud,Application security service on cloud.
ibmcloud,Service,paas_svc_plan_feat_asp_net_5,ASP.NET 5 service for web applications.
ibmcloud,Service,paas_svc_plan_feat_asp_net_core,ASP.NET Core service for cross-platform web applications.
ibmcloud,Service,paas_svc_plan_feat_autoscaling,Autoscaling service for dynamic resource management.
ibmcloud,Service,paas_svc_plan_feat_availability_monitoring,Availability monitoring service for uptime tracking.
ibmcloud,Service,paas_svc_plan_feat_blazemeter,BlazeMeter service for performance testing.
ibmcloud,Service,paas_svc_plan_feat_blockchain,Blockchain service for distributed ledger technology.
ibmcloud,Service,paas_svc_plan_feat_bm_liberty_for_java,Liberty for Java service for Java applications.
ibmcloud,Service,paas_svc_plan_feat_bm_node_js,Node.js service for JavaScript runtime.
ibmcloud,Service,paas_svc_plan_feat_bm_platform_runtime,Platform runtime service for various environments.
ibmcloud,Service,paas_svc_plan_feat_cloudant_nosql_db,Cloudant NoSQL DB service for database management.
ibmcloud,Service,paas_svc_plan_feat_cloud_management,Cloud management service for resource control.
ibmcloud,Service,paas_svc_plan_feat_cloud_object_storage,Cloud Object Storage service for scalable storage.
ibmcloud,Service,paas_svc_plan_feat_container_registry,Container registry service for managing container images.
ibmcloud,Service,paas_svc_plan_feat_containers,Containers service for containerized applications.
ibmcloud,Service,paas_svc_plan_feat_continuous_delivery,Continuous delivery service for automated deployments.
ibmcloud,Service,paas_svc_plan_feat_conversation,Conversation service for building chatbots.
ibmcloud,Service,paas_svc_plan_feat_dashdb,DashDB service for data warehousing.
ibmcloud,Service,paas_svc_plan_feat_data_science_experience,Data Science Experience service for data analysis.
ibmcloud,Service,paas_svc_plan_feat_db2_warehouse,DB2 Warehouse service for data storage.
ibmcloud,Service,paas_svc_plan_feat_devops_insights,DevOps Insights service for development metrics.
ibmcloud,Service,paas_svc_plan_feat_discovery,Discovery service for data exploration.
ibmcloud,Service,paas_svc_plan_feat_etcd,Etcd service for distributed key-value store.
ibmcloud,Service,paas_svc_plan_feat_geospatial_analytics,Geospatial Analytics service for spatial data analysis.
ibmcloud,Service,paas_svc_plan_feat_ibm_containers,IBM Containers service for container orchestration.
ibmcloud,Service,paas_svc_plan_feat_ibm_push_notifications,IBM Push Notifications service for mobile alerts.
ibmcloud,Service,paas_svc_plan_feat_insights_for_weather,Insights for Weather service for weather data.
ibmcloud,Service,paas_svc_plan_feat_iot_platform,IoT Platform service for Internet of Things.
ibmcloud,Service,paas_svc_plan_feat_janusgraph,JanusGraph service for graph database.
ibmcloud,Service,paas_svc_plan_feat_key_protect,Key Protect service for key management.
ibmcloud,Service,paas_svc_plan_feat_kubernetes_cluster,Kubernetes Cluster service for container orchestration.
ibmcloud,Service,paas_svc_plan_feat_log_analysis,Log Analysis service for log management.
ibmcloud,Service,paas_svc_plan_feat_machine_learning,Machine Learning service for AI models.
ibmcloud,Service,paas_svc_plan_feat_message_hub,Message Hub service for messaging.
ibmcloud,Service,paas_svc_plan_feat_mobile_analytics,Mobile Analytics service for mobile data analysis.
ibmcloud,Service,paas_svc_plan_feat_mobile_client_access,Mobile Client Access service for mobile backend.
ibmcloud,Service,paas_svc_plan_feat_mongodb,MongoDB service for NoSQL database.
ibmcloud,Service,paas_svc_plan_feat_mysql,MySQL service for relational database.
ibmcloud,Service,paas_svc_plan_feat_natural_language,Natural Language service for text analysis.
ibmcloud,Service,paas_svc_plan_feat_new_relic,New Relic service for application performance monitoring.
ibmcloud,Service,paas_svc_plan_feat_openwhisk,OpenWhisk service for serverless computing.
ibmcloud,Service,paas_svc_plan_feat_personality_insights,Personality Insights service for personality analysis.
ibmcloud,Service,paas_svc_plan_feat_postgresql,PostgreSQL service for relational database.
ibmcloud,Service,paas_svc_plan_feat_predictive_analytics,Predictive Analytics service for data predictions.
ibmcloud,Service,paas_svc_plan_feat_rabbitmq,RabbitMQ service for messaging.
ibmcloud,Service,paas_svc_plan_feat_redis,Redis service for in-memory data store.
ibmcloud,Service,paas_svc_plan_feat_runtime_swift,Runtime Swift service for Swift applications.
ibmcloud,Service,paas_svc_plan_feat_scylladb,ScyllaDB service for NoSQL database.
ibmcloud,Service,paas_svc_plan_feat_secure_gateway,Secure Gateway service for secure connections.
ibmcloud,Service,paas_svc_plan_feat_speech_to_text,Speech to Text service for speech recognition.
ibmcloud,Service,paas_svc_plan_feat_testdroid,Testdroid service for mobile testing.
ibmcloud,Service,paas_svc_plan_feat_text_to_speech,Text to Speech service for speech synthesis.
ibmcloud,Service,paas_svc_plan_feat_tone_analyzer,Tone Analyzer service for sentiment analysis.
ibmcloud,Service,paas_svc_plan_feat_usage,Usage service for usage tracking.
ibmcloud,Service,paas_svc_plan_feat_usage_bm_node_js,Usage service for Node.js applications.
ibmcloud,Service,paas_svc_plan_feat_usage_cloudant_nosql_db,Usage service for Cloudant NoSQL DB.
ibmcloud,Service,paas_svc_plan_feat_usage_cloud_object_storage,Usage service for Cloud Object Storage.
ibmcloud,Service,paas_svc_plan_feat_usage_container_registry,Usage service for Container Registry.
ibmcloud,Service,paas_svc_plan_feat_usage_continuous_delivery,Usage service for Continuous Delivery.
ibmcloud,Service,paas_svc_plan_feat_usage_etcd,Usage service for Etcd.
ibmcloud,Service,paas_svc_plan_feat_usage_kubernetes_cluster,Usage service for Kubernetes Cluster.
ibmcloud,Service,paas_svc_plan_feat_usage_message_hub,Usage service for Message Hub.
ibmcloud,Service,paas_svc_plan_feat_usage_mongodb,Usage service for MongoDB.
ibmcloud,Service,paas_svc_plan_feat_usage_mysql,Usage service for MySQL.
ibmcloud,Service,paas_svc_plan_feat_usage_rabbitmq,Usage service for RabbitMQ.
ibmcloud,Service,paas_svc_plan_feat_visual_recognition,Visual Recognition service for image analysis.
ibmcloud,Service,paas_svc_plan_feat_workload_scheduler,Workload Scheduler service for job scheduling.
ibmcloud,Service,paas_svc_plan_flowthings_io,Flowthings.io service for IoT data flow.
ibmcloud,Service,paas_svc_plan_gamification,Gamification service for game mechanics.
ibmcloud,Service,paas_svc_plan_geocoding,Geocoding service for address conversion.
ibmcloud,Service,paas_svc_plan_geospatial_analytics,Geospatial Analytics service for spatial data analysis.
ibmcloud,Service,paas_svc_plan_globalization_pipelin,Globalization Pipeline service for translation.
ibmcloud,Service,paas_svc_plan_hiptest,Hiptest is a continuous testing platform for Agile and DevOps teams.
ibmcloud,Service,paas_svc_plan_hybrid_connect,Hybrid Connect provides secure connectivity between on-premises and cloud environments.
ibmcloud,Service,paas_svc_plan_ibm_alert_notification,IBM Alert Notification helps manage and respond to alerts from various sources.
ibmcloud,Service,paas_svc_plan_ibm_containers,IBM Containers provides a managed Kubernetes service for deploying containerized applications.
ibmcloud,Service,paas_svc_plan_ibm_graph,IBM Graph is a fully managed graph database service.
ibmcloud,Service,paas_svc_plan_ibm_identity_mixer,IBM Identity Mixer provides privacy-preserving authentication.
ibmcloud,Service,paas_svc_plan_ibm_push_notifications,IBM Push Notifications enables sending push notifications to mobile devices.
ibmcloud,Service,paas_svc_plan_insights_for_twitter,Insights for Twitter provides analytics and insights from Twitter data.
ibmcloud,Service,paas_svc_plan_insights_for_weather,Insights for Weather provides weather data and analytics.
ibmcloud,Service,paas_svc_plan_instrument_analytics,Instrument Analytics offers tools for monitoring and analyzing application performance.
ibmcloud,Service,paas_svc_plan_integration_testing,Integration Testing provides tools for testing integrations between services.
ibmcloud,Service,paas_svc_plan_investment_portfolio,Investment Portfolio offers tools for managing and analyzing investment portfolios.
ibmcloud,Service,paas_svc_plan_iot_automotive,IoT Automotive provides IoT solutions for the automotive industry.
ibmcloud,Service,paas_svc_plan_iot_for_electronics,IoT for Electronics offers IoT solutions for electronic devices.
ibmcloud,Service,paas_svc_plan_iot_for_insurance,IoT for Insurance provides IoT solutions for the insurance industry.
ibmcloud,Service,paas_svc_plan_iot_platform,IoT Platform is a managed service for connecting and managing IoT devices.
ibmcloud,Service,paas_svc_plan_iot_realtime_insights,IoT Realtime Insights provides real-time analytics for IoT data.
ibmcloud,Service,paas_svc_plan_iot_workbench,IoT Workbench offers tools for developing and testing IoT applications.
ibmcloud,Service,paas_svc_plan_iqp_iot_codefree_app_dev,IQP IoT Codefree App Dev enables building IoT applications without coding.
ibmcloud,Service,paas_svc_plan_janusgraph,JanusGraph is a scalable graph database optimized for storing and querying large graphs.
ibmcloud,Service,paas_svc_plan_jkool,jKool provides real-time analytics and monitoring for applications.
ibmcloud,Service,paas_svc_plan_key_protect,Key Protect is a managed service for creating and managing encryption keys.
ibmcloud,Service,paas_svc_plan_kinetise,Kinetise enables building mobile applications without coding.
ibmcloud,Service,paas_svc_plan_kubernetes_cluster,Kubernetes Cluster provides a managed Kubernetes service for deploying containerized applications.
ibmcloud,Service,paas_svc_plan_language_translation,Language Translation offers machine translation services for multiple languages.
ibmcloud,Service,paas_svc_plan_language_translator,Language Translator provides real-time translation services.
ibmcloud,Service,paas_svc_plan_lift,Lift is a data migration service for moving data to the cloud.
ibmcloud,Service,paas_svc_plan_load_impact,Load Impact provides tools for load testing applications.
ibmcloud,Service,paas_svc_plan_log_analysis,Log Analysis offers tools for analyzing and visualizing log data.
ibmcloud,Service,paas_svc_plan_machine_learning,Machine Learning provides tools and services for building and deploying machine learning models.
ibmcloud,Service,paas_svc_plan_memcached_cloud,Memcached Cloud is a managed service for deploying Memcached instances.
ibmcloud,Service,paas_svc_plan_message_connect,Message Connect provides tools for integrating messaging services.
ibmcloud,Service,paas_svc_plan_message_hub,Message Hub is a managed Kafka service for building real-time data pipelines.
ibmcloud,Service,paas_svc_plan_message_hub_incubator,Message Hub Incubator offers experimental features for the Message Hub service.
ibmcloud,Service,paas_svc_plan_mobile_analytics,Mobile Analytics provides tools for analyzing mobile application usage.
ibmcloud,Service,paas_svc_plan_mobile_app_builder,Mobile App Builder enables building mobile applications with a visual interface.
ibmcloud,Service,paas_svc_plan_mobile_app_content_mgr,Mobile App Content Manager provides tools for managing mobile application content.
ibmcloud,Service,paas_svc_plan_mobile_client_access,Mobile Client Access offers tools for securing and managing mobile application access.
ibmcloud,Service,paas_svc_plan_mobile_data,Mobile Data provides tools for managing mobile application data.
ibmcloud,Service,paas_svc_plan_mobile_foundation,Mobile Foundation offers a comprehensive platform for building and managing mobile applications.
ibmcloud,Service,paas_svc_plan_mobile_quality_assurance,Mobile Quality Assurance provides tools for testing and ensuring the quality of mobile applications.
ibmcloud,Service,paas_svc_plan_mobile_quality_extensions,Mobile Quality Extensions offers additional tools for mobile application testing.
ibmcloud,Service,paas_svc_plan_mongodb,IBM MongoDB is a managed service for deploying MongoDB instances.
ibmcloud,Service,paas_svc_plan_mongolab,MongoLab provides a fully managed MongoDB service.
ibmcloud,Service,paas_svc_plan_moni_ai,Moni.ai offers tools for building and deploying AI-powered applications.
ibmcloud,Service,paas_svc_plan_monitoring_and_analytics,Monitoring and Analytics provides tools for monitoring and analyzing application performance.
ibmcloud,Service,paas_svc_plan_mq_light,MQ Light is a lightweight messaging service for building real-time applications.
ibmcloud,Service,paas_svc_plan_mysql,IBM MySQL is a managed service for deploying MySQL instances.
ibmcloud,Service,paas_svc_plan_namara_io_catalog,Namara.io Catalog provides access to a catalog of public data sets.
ibmcloud,Service,paas_svc_plan_nat_lang_class,Natural Language Classifier offers tools for building natural language processing models.
ibmcloud,Service,paas_svc_plan_natural_data,Natural Data provides tools for analyzing and visualizing natural language data.
ibmcloud,Service,paas_svc_plan_natural_language,Natural Language offers tools for building natural language processing applications.
ibmcloud,Service,paas_svc_plan_network_security_groups,Network Security Groups provides tools for managing network security policies.
ibmcloud,Service,paas_svc_plan_new_relic,New Relic offers tools for monitoring and analyzing application performance.
ibmcloud,Service,paas_svc_plan_object_storage,Object Storage is a scalable storage service for storing and retrieving unstructured data.
ibmcloud,Service,paas_svc_plan_openwhisk,OpenWhisk is a serverless platform for building and deploying event-driven applications.
ibmcloud,Service,paas_svc_plan_operations_analytics,Operations Analytics provides tools for analyzing and optimizing IT operations.
ibmcloud,Service,paas_svc_plan_personality_insights,Personality Insights offers tools for analyzing personality traits from text data.
ibmcloud,Service,paas_svc_plan_postgresql,IBM PostgreSQL is a managed service for deploying PostgreSQL instances.
ibmcloud,Service,paas_svc_plan_predictive_analytics,Predictive Analytics provides tools for building and deploying predictive models.
ibmcloud,Service,paas_svc_plan_presence_insights,Presence Insights offers tools for analyzing and optimizing physical space usage.
ibmcloud,Service,paas_svc_plan_probabilistic_match,Probabilistic Match provides tools for matching and linking data records.
ibmcloud,Service,paas_svc_plan_product_insights,Product Insights offers tools for analyzing and optimizing product performance.
ibmcloud,Service,paas_svc_plan_pubnub,PubNub is a real-time messaging service for building real-time applications.
ibmcloud,Service,paas_svc_plan_push,Push provides tools for sending push notifications to mobile devices.
ibmcloud,Service,paas_svc_plan_qa,QA offers tools for testing and ensuring the quality of applications.
ibmcloud,Service,paas_svc_plan_rabbitmq,RabbitMQ is a managed service for deploying RabbitMQ instances.
ibmcloud,Service,paas_svc_plan_reappt_from_push_tech,Reappt from Push Technology provides tools for building real-time applications.
ibmcloud,Service,paas_svc_plan_redis,IBM Redis is a managed service for deploying Redis instances.
ibmcloud,Service,paas_svc_plan_redis_cloud,Redis Cloud provides a fully managed Redis service.
ibmcloud,Service,paas_svc_plan_relationship_extraction,Relationship Extraction offers tools for extracting relationships from text data.
ibmcloud,Service,paas_svc_plan_rethinkdb,RethinkDB is a managed service for deploying RethinkDB instances.
ibmcloud,Service,paas_svc_plan_retrieve_and_rank,Retrieve and Rank provides tools for building search and ranking applications.
ibmcloud,Service,paas_svc_plan_reverse_geocoding,Reverse Geocoding offers tools for converting geographic coordinates to addresses.
ibmcloud,Service,paas_svc_plan_rocket_mainframe_data,Rocket Mainframe Data provides tools for accessing and analyzing mainframe data.
ibmcloud,Service,paas_svc_plan_runbook_automation,Runbook Automation offers tools for automating IT operations tasks.
ibmcloud,Service,paas_svc_plan_runtime_swift,Runtime Swift provides a managed runtime environment for Swift applications.
ibmcloud,Service,paas_svc_plan_scylladb,ScyllaDB is a managed service for deploying ScyllaDB instances.
ibmcloud,Service,paas_svc_plan_searchly,Searchly provides a fully managed Elasticsearch service.
ibmcloud,Service,paas_svc_plan_secure_gateway,Secure Gateway offers tools for securely connecting on-premises and cloud environments.
ibmcloud,Service,paas_svc_plan_sendgrid,SendGrid provides tools for sending and managing email communications.
ibmcloud,Service,paas_svc_plan_service_discovery,Service Discovery offers tools for discovering and managing microservices.
ibmcloud,Service,paas_svc_plan_service_proxy,Service Proxy provides tools for managing and securing API traffic.
ibmcloud,Service,paas_svc_plan_session_cache,In-memory data caching service
ibmcloud,Service,paas_svc_plan_simplicite_apaas,Application platform as a service
ibmcloud,Service,paas_svc_plan_single_sign_on,Single sign-on authentication service
ibmcloud,Service,paas_svc_plan_speech_to_text,Convert speech to text
ibmcloud,Service,paas_svc_plan_sql_db,Managed SQL database service
ibmcloud,Service,paas_svc_plan_statica,Static content hosting service
ibmcloud,Service,paas_svc_plan_streaming_analytics,Real-time data analytics
ibmcloud,Service,paas_svc_plan_testdroid,Mobile app testing service
ibmcloud,Service,paas_svc_plan_text_to_speech,Convert text to speech
ibmcloud,Service,paas_svc_plan_time_series_database,Time series data storage
ibmcloud,Service,paas_svc_plan_tinyqueries,Simple query service
ibmcloud,Service,paas_svc_plan_tone_analyzer,Analyze tone in text
ibmcloud,Service,paas_svc_plan_track_plan,Project tracking service
ibmcloud,Service,paas_svc_plan_tradeoff_analytics,Decision-making analytics
ibmcloud,Service,paas_svc_plan_travel_boundary_service,Travel boundary service
ibmcloud,Service,paas_svc_plan_twilio,Communication APIs
ibmcloud,Service,paas_svc_plan_ustream,Live video streaming
ibmcloud,Service,paas_svc_plan_validate_address,Address validation service
ibmcloud,Service,paas_svc_plan_vantrix_transcoder,Media transcoding service
ibmcloud,Service,paas_svc_plan_virtual_server,Virtual server hosting
ibmcloud,Service,paas_svc_plan_visual_insights,Visual data analysis
ibmcloud,Service,paas_svc_plan_visual_recognition,Image recognition service
ibmcloud,Service,paas_svc_plan_vpn,Virtual private network service
ibmcloud,Service,paas_svc_plan_watson_studio,Data science and AI tools
ibmcloud,Service,paas_svc_plan_websphere_app_server,Application server hosting
ibmcloud,Service,paas_svc_plan_workflow,Workflow automation service
ibmcloud,Service,paas_svc_plan_workload_scheduler,Job scheduling service
ibmcloud,Service,paas_svc_plan_xpages_nosql_db,NoSQL database service
ibmcloud,Service,paas_svc_plan_zos,Mainframe service
ibmcloud,Service,pass_svc_plan_feat_kubernetes_cluster,Managed Kubernetes clusters
ibmcloud,Service,pass_svc_plan_kubernetes_cluster,Managed Kubernetes clusters
ibmcloud,Service,paas_svc_plan_feat_usage_key_protect,Key management service
ibmcloud,Service,portworx,Container storage service
ibmcloud,Service,Power Systems Virtual Server,Virtual servers on Power Systems
ibmcloud,Service,SDK for Node.js™,Node.js development tools
ibmcloud,Service,service,General service
ibmcloud,Service,service_instance,Service instance management
ibmcloud,Service,speech-to-text,Convert speech to text
ibmcloud,Service,toolchain,DevOps toolchain
ibmcloud,Service,transit,Transit service
ibmcloud,Service,Unattached Services,Unattached services
ibmcloud,Service,Watson Assistant,AI-powered chatbot
ibmcloud,Service,Watson OpenScale,AI model management
ibmcloud,Service,watson-vision-combined,Combined visual recognition services
ibmcloud,Service,Watson Discovery,AI-powered search and content analytics
ibmcloud,Software,anti_virus,Antivirus software
ibmcloud,Software,billing_package,Billing management software
ibmcloud,Storage,Block Storage for VPC,Block storage for virtual private cloud
ibmcloud,Storage,cdp_backup,Cloud data protection backup
ibmcloud,Storage,cloud-object-storage,Object storage service
ibmcloud,Storage,Cloud Object Storage,Object storage service
ibmcloud,Storage,dedicated_host_disk,Disk storage for dedicated hosts
ibmcloud,Storage,disk0,General disk storage
ibmcloud,Storage,disk1,General disk storage
ibmcloud,Storage,disk10,General disk storage
ibmcloud,Storage,disk11,General disk storage
ibmcloud,Storage,disk12,General disk storage
ibmcloud,Storage,disk13,General disk storage
ibmcloud,Storage,disk14,General disk storage
ibmcloud,Storage,disk15,General disk storage
ibmcloud,Storage,disk16,General disk storage
ibmcloud,Storage,disk17,General disk storage
ibmcloud,Storage,disk18,General disk storage
ibmcloud,Storage,disk19,General disk storage
ibmcloud,Storage,disk2,General disk storage
ibmcloud,Storage,disk20,General disk storage
ibmcloud,Storage,disk21,General disk storage
ibmcloud,Storage,disk22,General disk storage
ibmcloud,Storage,disk23,General disk storage
ibmcloud,Storage,disk24,General disk storage
ibmcloud,Storage,disk25,General disk storage
ibmcloud,Storage,disk26,General disk storage
ibmcloud,Storage,disk27,General disk storage
ibmcloud,Storage,disk28,General disk storage
ibmcloud,Storage,disk29,General disk storage
ibmcloud,Storage,disk3,General disk storage
ibmcloud,Storage,disk30,General disk storage
ibmcloud,Storage,disk31,General disk storage
ibmcloud,Storage,disk32,General disk storage
ibmcloud,Storage,disk33,General disk storage
ibmcloud,Storage,disk34,General disk storage
ibmcloud,Storage,disk35,General disk storage
ibmcloud,Storage,disk36,General disk storage
ibmcloud,Storage,disk37,General disk storage
ibmcloud,Storage,disk38,General disk storage
ibmcloud,Storage,disk39,General disk storage
ibmcloud,Storage,disk4,General disk storage
ibmcloud,Storage,disk40,General disk storage
ibmcloud,Storage,disk41,General disk storage
ibmcloud,Storage,disk42,General disk storage
ibmcloud,Storage,disk43,General disk storage
ibmcloud,Storage,disk44,General disk storage
ibmcloud,Storage,disk45,General disk storage
ibmcloud,Storage,disk46,General disk storage
ibmcloud,Storage,disk47,General disk storage
ibmcloud,Storage,disk48,General disk storage
ibmcloud,Storage,disk49,General disk storage
ibmcloud,Storage,disk5,General disk storage
ibmcloud,Storage,disk50,General disk storage
ibmcloud,Storage,disk51,General disk storage
ibmcloud,Storage,disk52,General disk storage
ibmcloud,Storage,disk53,General disk storage
ibmcloud,Storage,disk54,General disk storage
ibmcloud,Storage,disk55,General disk storage
ibmcloud,Storage,disk56,General disk storage
ibmcloud,Storage,disk57,General disk storage
ibmcloud,Storage,disk58,General disk storage
ibmcloud,Storage,disk59,General disk storage
ibmcloud,Storage,disk6,General disk storage
ibmcloud,Storage,disk60,General disk storage
ibmcloud,Storage,disk61,General disk storage
ibmcloud,Storage,disk62,General disk storage
ibmcloud,Storage,disk63,General disk storage
ibmcloud,Storage,disk64,General disk storage
ibmcloud,Storage,disk65,General disk storage
ibmcloud,Storage,disk66,General disk storage
ibmcloud,Storage,disk67,General disk storage
ibmcloud,Storage,disk68,General disk storage
ibmcloud,Storage,disk69,General disk storage
ibmcloud,Storage,disk7,General disk storage
ibmcloud,Storage,disk70,General disk storage
ibmcloud,Storage,disk71,General disk storage
ibmcloud,Storage,disk72,General disk storage
ibmcloud,Storage,disk73,General disk storage
ibmcloud,Storage,disk74,General disk storage
ibmcloud,Storage,disk75,General disk storage
ibmcloud,Storage,disk76,General disk storage
ibmcloud,Storage,disk77,General disk storage
ibmcloud,Storage,disk78,General disk storage
ibmcloud,Storage,disk79,General disk storage
ibmcloud,Storage,disk8,General disk storage
ibmcloud,Storage,disk80,General disk storage
ibmcloud,Storage,disk81,General disk storage
ibmcloud,Storage,disk82,General disk storage
ibmcloud,Storage,disk83,General disk storage
ibmcloud,Storage,disk84,General disk storage
ibmcloud,Storage,disk85,General disk storage
ibmcloud,Storage,disk86,General disk storage
ibmcloud,Storage,disk87,General disk storage
ibmcloud,Storage,disk88,General disk storage
ibmcloud,Storage,disk89,General disk storage
ibmcloud,Storage,disk9,General disk storage
ibmcloud,Storage,disk90,General disk storage
ibmcloud,Storage,disk91,General disk storage
ibmcloud,Storage,disk92,General disk storage
ibmcloud,Storage,disk93,General disk storage
ibmcloud,Storage,disk94,General disk storage
ibmcloud,Storage,disk95,General disk storage
ibmcloud,Storage,disk96,General disk storage
ibmcloud,Storage,disk97,General disk storage
ibmcloud,Storage,disk98,General disk storage
ibmcloud,Storage,disk99,General disk storage
ibmcloud,Storage,disk_controller,Manages disk operations
ibmcloud,Storage,disk_controller1,Manages disk operations
ibmcloud,Storage,disk_controller2,Manages disk operations
ibmcloud,Storage,evault,Cloud-based backup solution
ibmcloud,Storage,evault_plugin,Plugin for eVault backup
ibmcloud,Storage,hub,Centralized storage hub
ibmcloud,Storage,hub_bandwidth,Manages hub bandwidth
ibmcloud,Storage,hub_bandwidth_usage,Tracks hub bandwidth usage
ibmcloud,Storage,hub_storage_usage,Tracks hub storage usage
ibmcloud,Storage,nas,Network-attached storage
ibmcloud,Storage,object_storage,Scalable object storage
ibmcloud,Storage,object_storage_archive_restore,Restores archived object storage
ibmcloud,Storage,object_storage_bandwidth,Manages object storage bandwidth
ibmcloud,Storage,object_storage_class_a_api,Class A API for object storage
ibmcloud,Storage,object_storage_class_b_api,Class B API for object storage
ibmcloud,Storage,object_storage_flex_charge,Flexible charging for object storage
ibmcloud,Storage,object_storage_flex_max_cap,Max capacity for flexible object storage
ibmcloud,Storage,object_storage_min_duration,Minimum duration for object storage
ibmcloud,Storage,object_storage_min_size,Minimum size for object storage
ibmcloud,Storage,object_storage_retrieval,Retrieves object storage data
ibmcloud,Storage,object_storage_service,Object storage service management
ibmcloud,Storage,object_storage_usage_bandwidth,Tracks object storage bandwidth usage
ibmcloud,Storage,object_storage_usage_class_a_api,Tracks usage of Class A API for object storage
ibmcloud,Storage,object_storage_usage_class_b_api,Tracks usage of Class B API for object storage
ibmcloud,Storage,object_storage_usage_flex_charge,Tracks flexible charging for object storage
ibmcloud,Storage,object_storage_usage_retrieval,Tracks retrieval of object storage data
ibmcloud,Storage,object_storage_usage_service,Tracks object storage service usage
ibmcloud,Storage,openstack_cinder_storage_service,OpenStack Cinder storage service
ibmcloud,Storage,openstack_cinder_storage_snapshot,OpenStack Cinder storage snapshot
ibmcloud,Storage,openstack_object_storage,OpenStack object storage
ibmcloud,Storage,performance_storage_iops,Performance storage IOPS management
ibmcloud,Storage,performance_storage_iscsi,Performance storage iSCSI management
ibmcloud,Storage,performance_storage_nfs,Performance storage NFS management
ibmcloud,Storage,performance_storage_replication,Performance storage replication
ibmcloud,Storage,performance_storage_space,Performance storage space management
ibmcloud,Storage,public_storage,Public storage service
ibmcloud,Storage,storage_as_a_service,Storage as a service
ibmcloud,Storage,storage_backend_upgrade,Upgrades for storage backend
ibmcloud,Storage,storage_block,Block storage service
ibmcloud,Storage,storage_file,File storage service
ibmcloud,Storage,StorageLayer,Storage layer management
ibmcloud,Storage,storagelayer_additional_storage,Additional storage for storage layer
ibmcloud,Storage,storage_service_enterprise,Enterprise storage service
ibmcloud,Storage,storage_snapshot_space,Snapshot space for storage
ibmcloud,Storage,storage_tier_level,Storage tier level management
ibmcloud,Storage,volume,Volume storage service
ibmcloud,Storage,Block Storage Snapshots for VPC,Block storage snapshots for VPC
ibmcloud,Support,support_services,Provides support services
ibmcloud,VMware,vmware-solutions,VMware solutions for cloud
ibmcloud,VMware,VMware Solutions,VMware solutions for cloud
ibmcloud,Network,Direct Link Dedicated (2.0),Dedicated direct link service
ibmcloud,Storage,Portworx Enterprise,Enterprise storage solution
ibmcloud,Compute,placement-group,Manages placement groups
ibmcloud,Service,px-backup,Backup service
democloud,Compute,Compute,Compute services
democloud,Database,Database,Database services
democloud,Container,Containers,Container services
alicloud,Other,Unassociated Cost,Unassociated cost tracking
alicloud,Compute,Elastic Compute Service,Elastic compute service
alicloud,Compute,vms,Virtual machines
alicloud,Compute,Elastic Container Instance,Elastic container instances
alicloud,Compute,Container Service for Kubernetes,Kubernetes container service
alicloud,Compute,Function Compute,Function compute service
alicloud,Compute,Marketplace,Cloud marketplace
alicloud,Storage,Elastic Block Storage,Elastic block storage
alicloud,Storage,Object Storage Service,Object storage service
alicloud,Storage,Apsara File Storage NAS,File storage NAS
alicloud,Network,Server Load Balancer,Server load balancer
alicloud,Network,NAT Gateway,NAT gateway service
alicloud,Network,Elastic IP Address,Elastic IP address service
alicloud,Network,VPN Gateway,VPN gateway service
alicloud,Network,Alibaba Cloud DNS PrivateZone,Private DNS service
alicloud,Database,ApsaraDB for MongoDB,Managed MongoDB service
alicloud,Database,Relational Database Service (RDS),Relational database service
alicloud,Database,ApsaraDB for Redis,Managed Redis service
alicloud,Database,ApsaraDB for POLARDB,Managed POLARDB service
alicloud,Database,ApsaraDB RDS,Relational database service
alicloud,Security,KeyManagementService,Key management service
alicloud,Service,Log Service,Log management service
alicloud,Service,Message Queue,Message queue service
oci,Compute,Virtual Machines,Virtual machines
oci,Compute,Compute,Compute services
oci,Compute,Bare Metal servers,Bare metal servers
oci,Compute,Vmware,VMware services
oci,Compute,GPU-Accelerated compute,GPU-accelerated compute
oci,Compute,Secure Desktops,Secure desktop services
oci,Compute,Dedicated VM host,Dedicated VM host
oci,Compute,OS Management,OS management service
oci,Database,database,Database services
oci,Database,Database,Database services
oci,Database,Exadata database service,Exadata database service
oci,Database,cache with redis,Redis cache service
oci,Database,Database with postgreSQL,PostgreSQL database service
oci,Database,Odsp,ODSP database service
oci,Database,Mysql,MySQL database service
oci,Storage,Blockstorage,Block storage service
oci,Storage,Block_storage,Block storage service
oci,Storage,Objectstore,Object storage service
oci,Storage,Block volumes,Block volumes service
oci,Storage,File storage,File storage service
oci,Storage,Filestorageservice,File storage service
oci,Storage,Object storage,Object storage service
oci,Service,Oracle_notification_service,Oracle notification service
oci,Service,Telemetry,Telemetry service
oci,Security,Kms_shard4,Key management service
oci,Security,Network Firewall,Network firewall service
oci,Security,Secret Management,Secret management service
