cloud_provider,category,service,description,id
ibmcloud,Network,public-gateway,Public gateway service,b9712110
ibmcloud,Network,public_port,Public port service,59d11973
ibmcloud,Network,sec_ip_addresses,Secondary IP addresses service,0e84b54b
ibmcloud,Network,security-group,Security group service,41d4ed94
ibmcloud,Network,security_group,Security group service,40111abe
ibmcloud,Network,service_port,Service port management,0db17b5d
ibmcloud,Network,sov_ipv6_addresses,Sovereign IPv6 addresses service,964fe95a
ibmcloud,Network,sov_sec_ip_addresses,Sovereign secondary IP addresses service,e0a98635
ibmcloud,Network,sov_sec_ip_addresses_priv,Private sovereign secondary IP addresses service,2ff40e5e
ibmcloud,Network,sov_sec_ip_addresses_pub,Public sovereign secondary IP addresses service,6e664d5a
ibmcloud,Network,sriov_enabled,SR-IOV enabled service,01616f46
ibmcloud,Network,static_ipv6_addresses,Static IPv6 addresses service,e3b0343f
ibmcloud,Network,static_sec_ip_addresses,Static secondary IP addresses service,520bf2e2
ibmcloud,Network,subnet,Subnet management service,4c2001dd
ibmcloud,Network,vdr_member,VDR member service,6fda0de5
ibmcloud,Network,Virtual Private Cloud,Virtual Private Cloud service,0290a242
ibmcloud,Network,Virtual Private Endpoint for VPC,Virtual Private Endpoint service for VPC,b3133aa8
ibmcloud,Network,vlan_firewall,VLAN firewall service,18bee335
ibmcloud,Network,vpc,Virtual Private Cloud service,579b2f36
ibmcloud,Network,vpn,VPN service,b9ca1916
ibmcloud,Network,VPN for VPC,VPN service for VPC,28b82dc6
ibmcloud,Network,vpn_management,VPN management service,62ea23ab
ibmcloud,Network,Transit Gateway,Transit gateway service,9887531f
ibmcloud,Other,bc_insurance,Insurance-related services,0b21b3d3
ibmcloud,Other,discount,Discount services,bdd21df6
ibmcloud,Other,power_supply,Power supply services,f3519fb3
ibmcloud,Other,subscription_overage,Subscription overage charges,21fffca0
ibmcloud,Other,support_overage,Support overage charges,208785a7
ibmcloud,Other,Unassociated Cost,Unassociated costs,d2f2cf50
ibmcloud,Schematics workspaces,schematics,Infrastructure as Code service,00d121ae
ibmcloud,Security,Certificate Manager,Manage SSL/TLS certificates,dc462d5f
ibmcloud,Security,cloudcerts,Cloud certificate services,5f27a91f
ibmcloud,Security,external_authentication,External authentication services,e8e93455
ibmcloud,Security,intrusion_protection,Intrusion protection services,4919f1c0
ibmcloud,Security,key,Key management services,646945b4
ibmcloud,Security,kms,Key management system,f1f93e7f
ibmcloud,Security,security-advisor,Security advisory services,9c9bc479
ibmcloud,Security,ssl_certificate,SSL certificate management,28410db5
ibmcloud,Service,aiopenscale,AI lifecycle management,7defc019
ibmcloud,Service,api-gateway,API gateway services,b3a321f9
ibmcloud,Service,App Connect,Application integration services,c72e3ac6
ibmcloud,Service,appid,App ID services,541f954d
ibmcloud,Service,cdn_custom_ssl_certificate,Custom SSL certificate for CDN,5a18aeef
ibmcloud,Service,cdn_hosted_ssl_san_certificate,Hosted SSL SAN certificate for CDN,fc775cd5
ibmcloud,Service,cdn_rules_engine,CDN rules engine,661748fc
ibmcloud,Service,cdn_service_account,CDN service account management,f94e7c43
ibmcloud,Service,cdn_storage,CDN storage services,bf9fb476
ibmcloud,Service,cdn_token_authentication,CDN token authentication,35465232
ibmcloud,Service,cdn_vod_transmuxing,CDN VOD transmuxing,addc00bf
ibmcloud,Service,cldamqp,Cloud AMQP services,d479193c
ibmcloud,Service,Cloudant,NoSQL database services,ddd532e8
ibmcloud,Service,cloudantnosqldb,NoSQL database services,a12a51a1
ibmcloud,Service,codeengine,Code engine services,65012b56
ibmcloud,Service,Compose for MongoDB,Managed MongoDB services,9b9e8b12
ibmcloud,Service,Compose for MySQL,Managed MySQL services,f72a7b43
ibmcloud,Service,Compose for RabbitMQ,Managed RabbitMQ services,4ba37c16
ibmcloud,Service,consult-with-icg-wes,Consulting services,be98154b
ibmcloud,Service,continuous-delivery,Continuous delivery services,e3045cf3
ibmcloud,Service,Continuous Delivery,Continuous delivery services,613a7a91
ibmcloud,Service,control_panel,Control panel services,5cd87748
ibmcloud,Service,conversation,Conversation services,eb6e253b
ibmcloud,Service,data-science-experience,Data science platform,681ab19f
ibmcloud,Service,DevOps Insights,DevOps insights services,d3e29b04
ibmcloud,Service,discovery,Discovery services,0b9f637c
ibmcloud,Service,endpoint-gateway,Endpoint gateway services,a67f6f4d
ibmcloud,Service,Event Streams,Event streaming services,1808c5ae
ibmcloud,Service,flow-log-collector,Flow log collection services,2367cac6
ibmcloud,Service,functions,Serverless functions,1d4de85b
ibmcloud,Service,hpvs,High performance virtual servers,a374d9ca
ibmcloud,Service,hs-crypto,High security crypto services,9f005b4c
ibmcloud,Service,Hyper Protect Crypto Services,High security crypto services,b5d052d7
ibmcloud,Service,IBM Cloud Platform Runtime,Cloud platform runtime services,e2f0c485
ibmcloud,Service,IBM-Performance-Hub-1.0,Performance hub services,762cef09
ibmcloud,Service,iotf-service,Internet of Things services,c767fe1b
ibmcloud,Service,mass_data_migration_request,Mass data migration services,1bbe08c9
ibmcloud,Service,messagehub,Message hub services,43ef2dca
ibmcloud,Service,message_queuing,Message queuing services,a7ad9d2c
ibmcloud,Service,message_queuing_delivery,Message queuing delivery services,56861d54
ibmcloud,Service,messages-for-rabbitmq,Managed RabbitMQ services,e6f7074b
ibmcloud,Service,Messages for RabbitMQ,Managed RabbitMQ services,42007ff2
ibmcloud,Service,notification,Notification services,14675f2f
ibmcloud,Service,object_storage_archive_storage,Object storage archive services,f1d34bed
ibmcloud,Service,OpenWhisk Service Broker Display Name,Serverless service broker,eca1159d
ibmcloud,Service,paas_svc_plan,Platform as a Service plan,753bb1ed
ibmcloud,Service,paas_svc_plan_access_trail,Access trail services,e764e353
ibmcloud,Service,paas_svc_plan_active_deploy,Active deployment services,f942962f
ibmcloud,Service,paas_svc_plan_alchemyapi,AlchemyAPI services,fa8af1e3
ibmcloud,Service,paas_svc_plan_apache_hadoop,Apache Hadoop services,873c4ff7
ibmcloud,Service,paas_svc_plan_apache_spark,Apache Spark services,c6408f25
ibmcloud,Service,paas_svc_plan_apersona_asm,Apersona ASM services,161539f7
ibmcloud,Service,paas_svc_plan_api_connect,API Connect services,4c38c30e
ibmcloud,Service,paas_svc_plan_api_harmony,API Harmony services,933e81f2
ibmcloud,Service,paas_svc_plan_api_management,API management services,fb7768e1
ibmcloud,Service,paas_svc_plan_api_pitney_bowes,API Pitney Bowes services,8f6ae9d6
ibmcloud,Service,paas_svc_plan_appconnect,AppConnect services,57e90307
ibmcloud,Service,paas_svc_plan_apprenda_cloud_platform,Apprenda cloud platform services,0b9ec4a5
ibmcloud,Service,paas_svc_plan_appscan_analyzer,AppScan analyzer services,3890f7bf
ibmcloud,Service,paas_svc_plan_appscan_mobile_analyzer,AppScan mobile analyzer services,7be12fdd
ibmcloud,Service,paas_svc_plan_app_security_on_cloud,App security on cloud services,9424bc60
ibmcloud,Service,paas_svc_plan_asp_net_5,ASP.NET 5 services,2a747156
ibmcloud,Service,paas_svc_plan_asp_net_core,ASP.NET Core services,30fa5d99
ibmcloud,Service,paas_svc_plan_att,AT&T services,070acbdc
ibmcloud,Service,paas_svc_plan_auto_access_tester,Auto access tester services,b1c29692
ibmcloud,Service,paas_svc_plan_autoscaling,Autoscaling services,da8ecb30
ibmcloud,Service,paas_svc_plan_availability_monitoring,Availability monitoring services,f83fa81e
ibmcloud,Service,paas_svc_plan_blazemeter,Blazemeter services,946145c2
ibmcloud,Service,paas_svc_plan_blockchain,Blockchain services,b2ef81f8
ibmcloud,Service,paas_svc_plan_block_storage,Block storage services,ba95bb78
ibmcloud,Service,paas_svc_plan_bm_liberty_for_java,Liberty for Java services,8e668f72
ibmcloud,Service,paas_svc_plan_bm_node_js,Node.js services,1fa02747
ibmcloud,Service,paas_svc_plan_bm_platform_runtime,Platform runtime services,62d47ee2
ibmcloud,Service,paas_svc_plan_box,Box services,81f02dc8
ibmcloud,Service,paas_svc_plan_business_rules,Business rules services,85c56ac5
ibmcloud,Service,paas_svc_plan_cdn,CDN services,3868691d
ibmcloud,Service,paas_svc_plan_cleardb_mysql_db,ClearDB MySQL services,269857d7
ibmcloud,Service,paas_svc_plan_cloudamqp,CloudAMQP services,08c8ad83
ibmcloud,Service,paas_svc_plan_cloudant_nosql_db,Cloudant NoSQL DB services,15e50f04
ibmcloud,Service,paas_svc_plan_cloud_integration,Cloud integration services,d659ca4a
ibmcloud,Service,paas_svc_plan_cloud_management,Cloud management services,6d0b3d90
ibmcloud,Service,paas_svc_plan_cloud_object_storage,Cloud object storage services,8df7f0c4
ibmcloud,Service,paas_svc_plan_common_service_broker,Common service broker,555f03d3
ibmcloud,Service,paas_svc_plan_compose_enterprise,Compose enterprise services,c8f59ea2
ibmcloud,Service,paas_svc_plan_concept_expansion,Concept expansion services,a804a8a7
ibmcloud,Service,paas_svc_plan_concept_insights,Concept insights services,64c0c56a
ibmcloud,Service,paas_svc_plan_connect_compose,Connect Compose services,9fc2c94f
ibmcloud,Service,paas_svc_plan_container_registry,Container registry services,b37e85a6
ibmcloud,Service,paas_svc_plan_containers,Container services,fc0e18dc
ibmcloud,Service,paas_svc_plan_context_mapping,Context mapping services,cf1ac90a
ibmcloud,Service,paas_svc_plan_continuous_delivery,Continuous delivery services,17225156
ibmcloud,Service,paas_svc_plan_conversation,Conversation services,215a18a7
ibmcloud,Service,paas_svc_plan_cupenya_insights,Cupenya insights services,93654fbf
ibmcloud,Service,paas_svc_plan_dashdb,DashDB services,f3eab6d4
ibmcloud,Service,paas_svc_plan_data_cache,Data cache services,916f6a04
ibmcloud,Service,paas_svc_plan_data_science_experience,Data science experience services,4974f62f
ibmcloud,Service,paas_svc_plan_dataworks,Dataworks services,c40b8c90
ibmcloud,Service,paas_svc_plan_db2,DB2 services,18b10b4c
ibmcloud,Service,paas_svc_plan_db2_warehouse,DB2 warehouse services,1e63d1a5
ibmcloud,Service,paas_svc_plan_decision_automation,Decision automation services,dedc1831
ibmcloud,Service,paas_svc_plan_decision_optimization,Decision optimization services,cbee08ec
ibmcloud,Service,paas_svc_plan_delivery_pipeline,Delivery pipeline services,eda8c16f
ibmcloud,Service,paas_svc_plan_devops_insights,DevOps insights services,16c75a69
ibmcloud,Service,paas_svc_plan_dialog,Dialog services,c385038a
ibmcloud,Service,paas_svc_plan_diffusion_cloud,Diffusion cloud services,7beef101
ibmcloud,Service,paas_svc_plan_digital_content_checker,Digital content checker services,a7192ef7
ibmcloud,Service,paas_svc_plan_discovery,Discovery services,c94866e3
ibmcloud,Service,paas_svc_plan_document_conversion,Document conversion services,628ebc88
ibmcloud,Service,paas_svc_plan_document_generation,Document generation services,c92bb5e3
ibmcloud,Service,paas_svc_plan_dreamface,Dreamface services,37380709
ibmcloud,Service,paas_svc_plan_driver_behavior,Driver behavior services,90a310b0
ibmcloud,Service,paas_svc_plan_elasticsearch,Elasticsearch services,a865b92f
ibmcloud,Service,paas_svc_plan_elephantsql,ElephantSQL services,82669b90
ibmcloud,Service,paas_svc_plan_embeddable_reporting,Embeddable reporting services,b02dbb7f
ibmcloud,Service,paas_svc_plan_etcd,Etcd services,59b1dc8c
ibmcloud,Service,paas_svc_plan_event_hub,Event Hub service for real-time data streaming.,d1e5786c
ibmcloud,Service,paas_svc_plan_feat,Feature service for various enhancements.,a1ccf4e0
ibmcloud,Service,paas_svc_plan_feat_apache_spark,Apache Spark service for big data processing.,3be266ac
ibmcloud,Service,paas_svc_plan_feat_api_connect,API Connect service for managing APIs.,094cdab7
ibmcloud,Service,paas_svc_plan_feat_app_security_on_cloud,Application security service on cloud.,9ea10c64
ibmcloud,Service,paas_svc_plan_feat_asp_net_5,ASP.NET 5 service for web applications.,2c7a48f1
ibmcloud,Service,paas_svc_plan_feat_asp_net_core,ASP.NET Core service for cross-platform web applications.,eac187a7
ibmcloud,Service,paas_svc_plan_feat_autoscaling,Autoscaling service for dynamic resource management.,0141802c
ibmcloud,Service,paas_svc_plan_feat_availability_monitoring,Availability monitoring service for uptime tracking.,1db8ea09
ibmcloud,Service,paas_svc_plan_feat_blazemeter,BlazeMeter service for performance testing.,4b630982
ibmcloud,Service,paas_svc_plan_feat_blockchain,Blockchain service for distributed ledger technology.,c8da3a44
ibmcloud,Service,paas_svc_plan_feat_bm_liberty_for_java,Liberty for Java service for Java applications.,2eadb7d4
ibmcloud,Service,paas_svc_plan_feat_bm_node_js,Node.js service for JavaScript runtime.,461f47cc
ibmcloud,Service,paas_svc_plan_feat_bm_platform_runtime,Platform runtime service for various environments.,5d7c107e
ibmcloud,Service,paas_svc_plan_feat_cloudant_nosql_db,Cloudant NoSQL DB service for database management.,2af41271
ibmcloud,Service,paas_svc_plan_feat_cloud_management,Cloud management service for resource control.,d98420af
ibmcloud,Service,paas_svc_plan_feat_cloud_object_storage,Cloud Object Storage service for scalable storage.,5c632a64
ibmcloud,Service,paas_svc_plan_feat_container_registry,Container registry service for managing container images.,2241f081
ibmcloud,Service,paas_svc_plan_feat_containers,Containers service for containerized applications.,6952edf3
ibmcloud,Service,paas_svc_plan_feat_continuous_delivery,Continuous delivery service for automated deployments.,b19fadd9
ibmcloud,Service,paas_svc_plan_feat_conversation,Conversation service for building chatbots.,28e37601
ibmcloud,Service,paas_svc_plan_feat_dashdb,DashDB service for data warehousing.,f7660ec6
ibmcloud,Service,paas_svc_plan_feat_data_science_experience,Data Science Experience service for data analysis.,b8603a4a
ibmcloud,Service,paas_svc_plan_feat_db2_warehouse,DB2 Warehouse service for data storage.,7aeb7d12
ibmcloud,Service,paas_svc_plan_feat_devops_insights,DevOps Insights service for development metrics.,3108f5e3
ibmcloud,Service,paas_svc_plan_feat_discovery,Discovery service for data exploration.,8b9590fe
ibmcloud,Service,paas_svc_plan_feat_etcd,Etcd service for distributed key-value store.,87e082a7
ibmcloud,Service,paas_svc_plan_feat_geospatial_analytics,Geospatial Analytics service for spatial data analysis.,aacbb344
ibmcloud,Service,paas_svc_plan_feat_ibm_containers,IBM Containers service for container orchestration.,67cc5f30
ibmcloud,Service,paas_svc_plan_feat_ibm_push_notifications,IBM Push Notifications service for mobile alerts.,3126868f
ibmcloud,Service,paas_svc_plan_feat_insights_for_weather,Insights for Weather service for weather data.,e48a7254
ibmcloud,Service,paas_svc_plan_feat_iot_platform,IoT Platform service for Internet of Things.,a9d00c2a
ibmcloud,Service,paas_svc_plan_feat_janusgraph,JanusGraph service for graph database.,0ff055bb
ibmcloud,Service,paas_svc_plan_feat_key_protect,Key Protect service for key management.,10ca92a6
ibmcloud,Service,paas_svc_plan_feat_kubernetes_cluster,Kubernetes Cluster service for container orchestration.,ccbdf39f
ibmcloud,Service,paas_svc_plan_feat_log_analysis,Log Analysis service for log management.,471cb042
ibmcloud,Service,paas_svc_plan_feat_machine_learning,Machine Learning service for AI models.,47b6ba78
ibmcloud,Service,paas_svc_plan_feat_message_hub,Message Hub service for messaging.,255a89be
ibmcloud,Service,paas_svc_plan_feat_mobile_analytics,Mobile Analytics service for mobile data analysis.,ae94117c
ibmcloud,Service,paas_svc_plan_feat_mobile_client_access,Mobile Client Access service for mobile backend.,939e8f8e
ibmcloud,Service,paas_svc_plan_feat_mongodb,MongoDB service for NoSQL database.,a6b49127
ibmcloud,Service,paas_svc_plan_feat_mysql,MySQL service for relational database.,932eebe0
ibmcloud,Service,paas_svc_plan_feat_natural_language,Natural Language service for text analysis.,b252d61c
ibmcloud,Service,paas_svc_plan_feat_new_relic,New Relic service for application performance monitoring.,bfb600c0
ibmcloud,Service,paas_svc_plan_feat_openwhisk,OpenWhisk service for serverless computing.,baf14dd3
ibmcloud,Service,paas_svc_plan_feat_personality_insights,Personality Insights service for personality analysis.,00aef2bf
ibmcloud,Service,paas_svc_plan_feat_postgresql,PostgreSQL service for relational database.,bdd0d5cf
ibmcloud,Service,paas_svc_plan_feat_predictive_analytics,Predictive Analytics service for data predictions.,e06e8f9e
ibmcloud,Service,paas_svc_plan_feat_rabbitmq,RabbitMQ service for messaging.,8e5ed0a4
ibmcloud,Service,paas_svc_plan_feat_redis,Redis service for in-memory data store.,8a7a3545
ibmcloud,Service,paas_svc_plan_feat_runtime_swift,Runtime Swift service for Swift applications.,8ebce475
ibmcloud,Service,paas_svc_plan_feat_scylladb,ScyllaDB service for NoSQL database.,07d81c6a
ibmcloud,Service,paas_svc_plan_feat_secure_gateway,Secure Gateway service for secure connections.,d09d46a3
ibmcloud,Service,paas_svc_plan_feat_speech_to_text,Speech to Text service for speech recognition.,3ff6d9c1
ibmcloud,Service,paas_svc_plan_feat_testdroid,Testdroid service for mobile testing.,dc8ee930
ibmcloud,Service,paas_svc_plan_feat_text_to_speech,Text to Speech service for speech synthesis.,00ea75fa
ibmcloud,Service,paas_svc_plan_feat_tone_analyzer,Tone Analyzer service for sentiment analysis.,a26558d5
ibmcloud,Service,paas_svc_plan_feat_usage,Usage service for usage tracking.,bc31c368
ibmcloud,Service,paas_svc_plan_feat_usage_bm_node_js,Usage service for Node.js applications.,a142f2e1
ibmcloud,Service,paas_svc_plan_feat_usage_cloudant_nosql_db,Usage service for Cloudant NoSQL DB.,27ec01e8
ibmcloud,Service,paas_svc_plan_feat_usage_cloud_object_storage,Usage service for Cloud Object Storage.,a5035c49
ibmcloud,Service,paas_svc_plan_feat_usage_container_registry,Usage service for Container Registry.,e714970e
ibmcloud,Service,paas_svc_plan_feat_usage_continuous_delivery,Usage service for Continuous Delivery.,5a7a30c9
ibmcloud,Service,paas_svc_plan_feat_usage_etcd,Usage service for Etcd.,e5436a5a
ibmcloud,Service,paas_svc_plan_feat_usage_kubernetes_cluster,Usage service for Kubernetes Cluster.,c765711a
ibmcloud,Service,paas_svc_plan_feat_usage_message_hub,Usage service for Message Hub.,707ef780
ibmcloud,Service,paas_svc_plan_feat_usage_mongodb,Usage service for MongoDB.,97b6a9bb
ibmcloud,Service,paas_svc_plan_feat_usage_mysql,Usage service for MySQL.,6b6b4302
ibmcloud,Service,paas_svc_plan_feat_usage_rabbitmq,Usage service for RabbitMQ.,cbb70796
ibmcloud,Service,paas_svc_plan_feat_visual_recognition,Visual Recognition service for image analysis.,08791ba6
ibmcloud,Service,paas_svc_plan_feat_workload_scheduler,Workload Scheduler service for job scheduling.,ac729f40
ibmcloud,Service,paas_svc_plan_flowthings_io,Flowthings.io service for IoT data flow.,73b92c72
ibmcloud,Service,paas_svc_plan_gamification,Gamification service for game mechanics.,4386862c
ibmcloud,Service,paas_svc_plan_geocoding,Geocoding service for address conversion.,a94e94da
ibmcloud,Service,paas_svc_plan_geospatial_analytics,Geospatial Analytics service for spatial data analysis.,12f4ae30
ibmcloud,Service,paas_svc_plan_globalization_pipelin,Globalization Pipeline service for translation.,623f7a10
ibmcloud,Service,paas_svc_plan_hiptest,Hiptest is a continuous testing platform for Agile and DevOps teams.,9c2892b9
ibmcloud,Service,paas_svc_plan_hybrid_connect,Hybrid Connect provides secure connectivity between on-premises and cloud environments.,4a80aa15
ibmcloud,Service,paas_svc_plan_ibm_alert_notification,IBM Alert Notification helps manage and respond to alerts from various sources.,807aca87
ibmcloud,Service,paas_svc_plan_ibm_containers,IBM Containers provides a managed Kubernetes service for deploying containerized applications.,532e5921
ibmcloud,Service,paas_svc_plan_ibm_graph,IBM Graph is a fully managed graph database service.,7f0510c6
ibmcloud,Service,paas_svc_plan_ibm_identity_mixer,IBM Identity Mixer provides privacy-preserving authentication.,37285c3e
ibmcloud,Service,paas_svc_plan_ibm_push_notifications,IBM Push Notifications enables sending push notifications to mobile devices.,fec9cab0
ibmcloud,Service,paas_svc_plan_insights_for_twitter,Insights for Twitter provides analytics and insights from Twitter data.,40d3f3c7
ibmcloud,Service,paas_svc_plan_insights_for_weather,Insights for Weather provides weather data and analytics.,6c1da42e
ibmcloud,Service,paas_svc_plan_instrument_analytics,Instrument Analytics offers tools for monitoring and analyzing application performance.,38f83b54
ibmcloud,Service,paas_svc_plan_integration_testing,Integration Testing provides tools for testing integrations between services.,03a3cc48
ibmcloud,Service,paas_svc_plan_investment_portfolio,Investment Portfolio offers tools for managing and analyzing investment portfolios.,ac71dec1
ibmcloud,Service,paas_svc_plan_iot_automotive,IoT Automotive provides IoT solutions for the automotive industry.,e15e8fe6
ibmcloud,Service,paas_svc_plan_iot_for_electronics,IoT for Electronics offers IoT solutions for electronic devices.,45fbccc7
ibmcloud,Service,paas_svc_plan_iot_for_insurance,IoT for Insurance provides IoT solutions for the insurance industry.,4d5a43a9
ibmcloud,Service,paas_svc_plan_iot_platform,IoT Platform is a managed service for connecting and managing IoT devices.,bfa9c6ca
ibmcloud,Service,paas_svc_plan_iot_realtime_insights,IoT Realtime Insights provides real-time analytics for IoT data.,13fb9d47
ibmcloud,Service,paas_svc_plan_iot_workbench,IoT Workbench offers tools for developing and testing IoT applications.,ee5931fa
ibmcloud,Service,paas_svc_plan_iqp_iot_codefree_app_dev,IQP IoT Codefree App Dev enables building IoT applications without coding.,0b61a5d6
ibmcloud,Service,paas_svc_plan_janusgraph,JanusGraph is a scalable graph database optimized for storing and querying large graphs.,7ffdec13
ibmcloud,Service,paas_svc_plan_jkool,jKool provides real-time analytics and monitoring for applications.,ea7c73d1
ibmcloud,Service,paas_svc_plan_key_protect,Key Protect is a managed service for creating and managing encryption keys.,5cd0731f
ibmcloud,Service,paas_svc_plan_kinetise,Kinetise enables building mobile applications without coding.,6a3ab4e1
ibmcloud,Service,paas_svc_plan_kubernetes_cluster,Kubernetes Cluster provides a managed Kubernetes service for deploying containerized applications.,37388d0a
ibmcloud,Service,paas_svc_plan_language_translation,Language Translation offers machine translation services for multiple languages.,7f5194d9
ibmcloud,Service,paas_svc_plan_language_translator,Language Translator provides real-time translation services.,c190b7a1
ibmcloud,Service,paas_svc_plan_lift,Lift is a data migration service for moving data to the cloud.,7c4a1e1e
ibmcloud,Service,paas_svc_plan_load_impact,Load Impact provides tools for load testing applications.,303a24ed
ibmcloud,Service,paas_svc_plan_log_analysis,Log Analysis offers tools for analyzing and visualizing log data.,e3255a59
ibmcloud,Service,paas_svc_plan_machine_learning,Machine Learning provides tools and services for building and deploying machine learning models.,817c6d66
ibmcloud,Service,paas_svc_plan_memcached_cloud,Memcached Cloud is a managed service for deploying Memcached instances.,8a16c058
ibmcloud,Service,paas_svc_plan_message_connect,Message Connect provides tools for integrating messaging services.,929393aa
ibmcloud,Service,paas_svc_plan_message_hub,Message Hub is a managed Kafka service for building real-time data pipelines.,3b21b734
ibmcloud,Service,paas_svc_plan_message_hub_incubator,Message Hub Incubator offers experimental features for the Message Hub service.,02884565
ibmcloud,Service,paas_svc_plan_mobile_analytics,Mobile Analytics provides tools for analyzing mobile application usage.,fcf9a106
ibmcloud,Service,paas_svc_plan_mobile_app_builder,Mobile App Builder enables building mobile applications with a visual interface.,167d3c95
ibmcloud,Service,paas_svc_plan_mobile_app_content_mgr,Mobile App Content Manager provides tools for managing mobile application content.,0227ff2e
ibmcloud,Service,paas_svc_plan_mobile_client_access,Mobile Client Access offers tools for securing and managing mobile application access.,ba3e48f0
ibmcloud,Service,paas_svc_plan_mobile_data,Mobile Data provides tools for managing mobile application data.,f54d7b60
ibmcloud,Service,paas_svc_plan_mobile_foundation,Mobile Foundation offers a comprehensive platform for building and managing mobile applications.,0edeb0c7
ibmcloud,Service,paas_svc_plan_mobile_quality_assurance,Mobile Quality Assurance provides tools for testing and ensuring the quality of mobile applications.,5f3fd205
ibmcloud,Service,paas_svc_plan_mobile_quality_extensions,Mobile Quality Extensions offers additional tools for mobile application testing.,692c0d64
ibmcloud,Service,paas_svc_plan_mongodb,IBM MongoDB is a managed service for deploying MongoDB instances.,7fe00d80
ibmcloud,Service,paas_svc_plan_mongolab,MongoLab provides a fully managed MongoDB service.,e7a0c0db
ibmcloud,Service,paas_svc_plan_moni_ai,Moni.ai offers tools for building and deploying AI-powered applications.,10d579b3
ibmcloud,Service,paas_svc_plan_monitoring_and_analytics,Monitoring and Analytics provides tools for monitoring and analyzing application performance.,89731563
ibmcloud,Service,paas_svc_plan_mq_light,MQ Light is a lightweight messaging service for building real-time applications.,1a1b9ef6
ibmcloud,Service,paas_svc_plan_mysql,IBM MySQL is a managed service for deploying MySQL instances.,03ecc1d8
ibmcloud,Service,paas_svc_plan_namara_io_catalog,Namara.io Catalog provides access to a catalog of public data sets.,9db21dca
ibmcloud,Service,paas_svc_plan_nat_lang_class,Natural Language Classifier offers tools for building natural language processing models.,2fd707cb
ibmcloud,Service,paas_svc_plan_natural_data,Natural Data provides tools for analyzing and visualizing natural language data.,26330701
ibmcloud,Service,paas_svc_plan_natural_language,Natural Language offers tools for building natural language processing applications.,1590a342
ibmcloud,Service,paas_svc_plan_network_security_groups,Network Security Groups provides tools for managing network security policies.,c5a791c2
ibmcloud,Service,paas_svc_plan_new_relic,New Relic offers tools for monitoring and analyzing application performance.,16779145
ibmcloud,Service,paas_svc_plan_object_storage,Object Storage is a scalable storage service for storing and retrieving unstructured data.,e9b5d056
ibmcloud,Service,paas_svc_plan_openwhisk,OpenWhisk is a serverless platform for building and deploying event-driven applications.,ead8de6f
ibmcloud,Service,paas_svc_plan_operations_analytics,Operations Analytics provides tools for analyzing and optimizing IT operations.,f73e055f
ibmcloud,Service,paas_svc_plan_personality_insights,Personality Insights offers tools for analyzing personality traits from text data.,13f29806
ibmcloud,Service,paas_svc_plan_postgresql,IBM PostgreSQL is a managed service for deploying PostgreSQL instances.,79c9b408
ibmcloud,Service,paas_svc_plan_predictive_analytics,Predictive Analytics provides tools for building and deploying predictive models.,7dd7fd12
ibmcloud,Service,paas_svc_plan_presence_insights,Presence Insights offers tools for analyzing and optimizing physical space usage.,b93909a2
ibmcloud,Service,paas_svc_plan_probabilistic_match,Probabilistic Match provides tools for matching and linking data records.,d3c2a9c8
ibmcloud,Service,paas_svc_plan_product_insights,Product Insights offers tools for analyzing and optimizing product performance.,98fc909b
ibmcloud,Service,paas_svc_plan_pubnub,PubNub is a real-time messaging service for building real-time applications.,90ad43a6
ibmcloud,Service,paas_svc_plan_push,Push provides tools for sending push notifications to mobile devices.,afe94602
ibmcloud,Service,paas_svc_plan_qa,QA offers tools for testing and ensuring the quality of applications.,f496be91
ibmcloud,Service,paas_svc_plan_rabbitmq,RabbitMQ is a managed service for deploying RabbitMQ instances.,fd17c59b
ibmcloud,Service,paas_svc_plan_reappt_from_push_tech,Reappt from Push Technology provides tools for building real-time applications.,bc8d11b5
ibmcloud,Service,paas_svc_plan_redis,IBM Redis is a managed service for deploying Redis instances.,08832f46
ibmcloud,Service,paas_svc_plan_redis_cloud,Redis Cloud provides a fully managed Redis service.,baf298f2
ibmcloud,Service,paas_svc_plan_relationship_extraction,Relationship Extraction offers tools for extracting relationships from text data.,866cf110
ibmcloud,Service,paas_svc_plan_rethinkdb,RethinkDB is a managed service for deploying RethinkDB instances.,3ca751f6
ibmcloud,Service,paas_svc_plan_retrieve_and_rank,Retrieve and Rank provides tools for building search and ranking applications.,53037f6a
ibmcloud,Service,paas_svc_plan_reverse_geocoding,Reverse Geocoding offers tools for converting geographic coordinates to addresses.,63a8a581
ibmcloud,Service,paas_svc_plan_rocket_mainframe_data,Rocket Mainframe Data provides tools for accessing and analyzing mainframe data.,47f6f631
ibmcloud,Service,paas_svc_plan_runbook_automation,Runbook Automation offers tools for automating IT operations tasks.,0b77bee2
ibmcloud,Service,paas_svc_plan_runtime_swift,Runtime Swift provides a managed runtime environment for Swift applications.,49cd486b
ibmcloud,Service,paas_svc_plan_scylladb,ScyllaDB is a managed service for deploying ScyllaDB instances.,0b7301b2
ibmcloud,Service,paas_svc_plan_searchly,Searchly provides a fully managed Elasticsearch service.,5799f692
ibmcloud,Service,paas_svc_plan_secure_gateway,Secure Gateway offers tools for securely connecting on-premises and cloud environments.,0613bbc0
